"idarticulo";"codigo";"nombre";"descripcion";"cod_tipo_articulo";"precio_venta";"cantidad";"bodega";"punto_de_pedido";"estado";"impuesto"
9;"QMOL";"Queso Molido K";"Bolsa 1 kilo";1;3100.0;0;1;50;1;"Gravado"
10;"QM250";"Queso Molido sobre";"250 sobres";1;6600.0;0;1;20;1;"Exento"
11;"QM500";"Queso Molido sobre";"500 sobres";1;12930.0;0;1;20;1;"Exento"
12;"CH200";"Chile escama 200";"200 sobres";1;2660.0;0;2;40;1;"Gravado"
13;"CH900";"Chile escama 900";"granel 900 gramos";1;6135.0;0;2;25;1;"Gravado"
14;"CAJ18";"Caja carton 18";"Caja Carton 18""";2;379.0;0;2;1000;1;"Exento"
15;"CAJ16";"Caja carton 16";"caja para pizza 16""";2;300.0;0;2;1500;1;"Gravado"
16;"CAJ14";"Caja carton 14";"caja para pizza 14""";2;226.0;0;2;1500;1;"Gravado"
17;"CAJ12";"Caja carton 12";"caja para pizza 12""";2;192.0;0;2;1500;1;"Gravado"
18;"CAJ9";"Caja carton 9";"caja para pizza 9""";2;124.0;0;2;500;1;"Exento"
19;"PLA9";"Plato carton 9";"Plato carton 9"" 100 unidades";2;1750.0;0;2;4000;1;"Gravado"
20;"JAMIDPREM";"Jamon Ideal premium";"Presentacion kilo";4;2350.0;0;1;5;1;"Exento"
21;"JAMIDECO";"Jamon ideal economico";"Presentacion kilo";4;1700.0;0;1;5;1;"Exento"
22;"JAMHAM";"Joya Ham";"paquete de kilo";4;2350.0;0;1;20;1;"Exento"
23;"JAMSPAM05";"Joya Spam ½";"Paquete ½ kilo";4;2550.0;0;1;10;1;"Exento"
24;"JAMPI";"Joya Spam Pieza";"Presentacion en pieza peso por kilo";4;2350.0;0;1;10;1;"Exento"
25;"JAMMIX";"Joya Mix";"paquete de kilo";4;2050.0;0;1;10;1;"Exento"
26;"TOCFORJOY";"Tocino formado Joya";"Presentacion kilo";4;3400.0;0;1;10;1;"Exento"
27;"TOCORIJOY";"Tocino original Joya";"Presentacion kilo";4;5600.0;0;1;5;1;"Exento"
28;"PEPJOY";"Peperonni joya";"Presentacion ½ kilo";4;3700.0;0;1;15;1;"Exento"
29;"SALJOY";"Salame Joya";"Presentacion kilo";4;3400.0;0;1;15;1;"Exento"
30;"PIEJOY";"Mano de Piedra Joya";"Presentacion kilo";3;5800.0;0;1;3;1;"Exento"
31;"SALCJOY";"Salchichon Parrillero";"Presentacion kilo";4;2000.0;0;1;50;1;"Exento"
32;"CHUPIE";"Chuleta Pieza";"Presentacion Pieza";3;3400.0;0;1;5;1;"Gravado"
33;"CHEREB";"Chuleta Rebanada";"Presentacion kilo";3;4000.0;0;1;2;1;"Gravado"
34;"MECRES";"Mechada de Res";"Mechada de Res";3;5275.0;0;1;2;1;"Gravado"
35;"TOCFORLAS";"Tocino formado Laska";"Presentacion kilo";4;3400.0;0;1;25;1;"Gravado"
36;"PIELAS";"Mano de Piedra Laska ";"Presentacion kilo";4;5800.0;0;1;2;1;"Exento"
37;"CARPIZZ";"Carne Pizza";"Presentacion kilo";3;2650.0;0;1;30;1;"Exento"
39;"MORTLUI";"Mortadela jamonada Don Luis";"Presentacion pieza";4;2200.0;0;1;5;1;"Exento"
